id,question,expected_document_ids,expected_pages,returned,retrieval_strategy
ITB-RAG-0002,اذكر الرؤية المذكورة في الملف التعريفي,"[""84d2d0b1-c42a-4163-89c9-01d0b5092831""]",[6],"[{""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 7, ""final_score"": 0.0015, ""passage_id"": ""8e32f89a-5610-48a3-8d8c-d0549bba2d4f""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 13, ""final_score"": 0.0002, ""passage_id"": ""a03e7040-d914-4c95-b2d1-e168d932be01""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 26, ""final_score"": 0.0001, ""passage_id"": ""b56c2dd2-a642-4c05-8339-cd96c591f9eb""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 13, ""final_score"": 0.0001, ""passage_id"": ""74db7b81-03d1-4c57-accb-bec56c67a0bf""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 26, ""final_score"": 0.0001, ""passage_id"": ""5f077c0e-edb6-461e-a51d-6bb0baa736f1""}]",hybrid_rrf+reranker
ITB-RAG-0003,ما الخدمات المذكورة تحت الأمن السيبراني في الملف التعريفي؟,"[""84d2d0b1-c42a-4163-89c9-01d0b5092831""]",[15],"[{""document_id"": ""84d2d0b1-c42a-4163-89c9-01d0b5092831"", ""page_from"": 16, ""final_score"": 0.2141, ""passage_id"": ""c720f9da-72de-40aa-9ddc-709f3a3ee689""}, {""document_id"": ""84d2d0b1-c42a-4163-89c9-01d0b5092831"", ""page_from"": 21, ""final_score"": 0.002, ""passage_id"": ""86c0865e-8628-41ea-bf85-d9bd117cffb1""}, {""document_id"": ""5c31ba30-b254-4f5f-89ef-f1a6ab18c5bc"", ""page_from"": 3, ""final_score"": 0.0005, ""passage_id"": ""8845b466-fdca-45bf-8ea0-38d1d4a3fff5""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 21, ""final_score"": 0.0002, ""passage_id"": ""fe239ea0-8c9f-4310-8610-e0f840d9d5c4""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 18, ""final_score"": 0.0002, ""passage_id"": ""21a85d64-9aa6-4e26-a52e-ab3bddf726c1""}]",hybrid_rrf+reranker
ITB-RAG-0004,ما المذكور عن الطب الشرعي الرقمي؟,"[""84d2d0b1-c42a-4163-89c9-01d0b5092831""]",[17],"[{""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 13, ""final_score"": 0.0003, ""passage_id"": ""6eefdae3-25d1-4e59-ab79-e987e63918bb""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 22, ""final_score"": 0.0001, ""passage_id"": ""8c2117ef-df8d-4762-9e30-20d3e1d0c464""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 2, ""final_score"": 0.0, ""passage_id"": ""042993b7-95bc-4542-b84e-060e943eac7e""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 11, ""final_score"": 0.0, ""passage_id"": ""d86124df-faa4-4636-928c-27ec8056c1e4""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 7, ""final_score"": 0.0, ""passage_id"": ""8e32f89a-5610-48a3-8d8c-d0549bba2d4f""}]",hybrid_rrf+reranker
ITB-RAG-0005,ما تفاصيل مشروع Ministry of Tourism في ملف المشاريع؟,"[""fd9de67d-7e3a-4258-a8a6-d957782b7cda""]",[6],"[{""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 23, ""final_score"": 0.0003, ""passage_id"": ""ac39a25c-0c29-4cb3-b800-6a57307ea2ef""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 26, ""final_score"": 0.0002, ""passage_id"": ""5f077c0e-edb6-461e-a51d-6bb0baa736f1""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 26, ""final_score"": 0.0002, ""passage_id"": ""561f72aa-4d79-4f83-81fd-f23b8e4f544e""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 24, ""final_score"": 0.0001, ""passage_id"": ""75403057-96d5-4485-8e2c-1fbad12ff149""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 21, ""final_score"": 0.0001, ""passage_id"": ""b20dea1b-ffb8-499b-821a-4f67c2cf547d""}]",hybrid_rrf+reranker
ITB-RAG-0006,ما نطاق عمل مشروع وزارة العدل في ملف المشاريع؟,"[""fd9de67d-7e3a-4258-a8a6-d957782b7cda""]",[8],"[{""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 13, ""final_score"": 0.0425, ""passage_id"": ""505a398d-9b72-47d5-a4ae-dc918b06af43""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 21, ""final_score"": 0.0004, ""passage_id"": ""b20dea1b-ffb8-499b-821a-4f67c2cf547d""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 8, ""final_score"": 0.0002, ""passage_id"": ""306b5259-4c25-4347-9a28-998aa85844a5""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 24, ""final_score"": 0.0002, ""passage_id"": ""8d1a52d6-5644-424a-8631-0b5abe366b0f""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 27, ""final_score"": 0.0001, ""passage_id"": ""d33761fa-350b-4561-9699-ddee4b03348b""}]",hybrid_rrf+reranker
ITB-RAG-0007,اذكر مشروعاً يتعلق برئاسة أمن الدولة في ملف المشاريع,"[""fd9de67d-7e3a-4258-a8a6-d957782b7cda""]",[1],"[{""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 26, ""final_score"": 0.0009, ""passage_id"": ""561f72aa-4d79-4f83-81fd-f23b8e4f544e""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 18, ""final_score"": 0.0003, ""passage_id"": ""21a85d64-9aa6-4e26-a52e-ab3bddf726c1""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 10, ""final_score"": 0.0003, ""passage_id"": ""253e6d7d-d2e9-4976-b855-084e4dfd74f1""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 24, ""final_score"": 0.0002, ""passage_id"": ""8d1a52d6-5644-424a-8631-0b5abe366b0f""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 24, ""final_score"": 0.0002, ""passage_id"": ""75403057-96d5-4485-8e2c-1fbad12ff149""}]",hybrid_rrf+reranker
ITB-RAG-0011,قارن بين مشروعين حكوميين مذكورين في ملف المشاريع,"[""fd9de67d-7e3a-4258-a8a6-d957782b7cda""]","[6, 8]","[{""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 26, ""final_score"": 0.0005, ""passage_id"": ""5f077c0e-edb6-461e-a51d-6bb0baa736f1""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 24, ""final_score"": 0.0005, ""passage_id"": ""75403057-96d5-4485-8e2c-1fbad12ff149""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 23, ""final_score"": 0.0004, ""passage_id"": ""ac39a25c-0c29-4cb3-b800-6a57307ea2ef""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 14, ""final_score"": 0.0004, ""passage_id"": ""62311ad1-e5f5-4fd5-96ef-9ab537c9f751""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 2, ""final_score"": 0.0003, ""passage_id"": ""042993b7-95bc-4542-b84e-060e943eac7e""}]",hybrid_rrf+reranker
ITB-RAG-0012,شو مذكور عن الشهاادات في الملف التعريفي؟,"[""84d2d0b1-c42a-4163-89c9-01d0b5092831""]",[10],"[{""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 13, ""final_score"": 0.0001, ""passage_id"": ""a03e7040-d914-4c95-b2d1-e168d932be01""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 11, ""final_score"": 0.0, ""passage_id"": ""867fa44f-ccc7-4c18-af5e-9039b8b9b22f""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 11, ""final_score"": 0.0, ""passage_id"": ""32985f90-0e01-4a7c-bd80-99b34db8a793""}, {""document_id"": ""5c31ba30-b254-4f5f-89ef-f1a6ab18c5bc"", ""page_from"": 2, ""final_score"": 0.0, ""passage_id"": ""c613e315-b11e-470e-bd39-eded9ca6034b""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 21, ""final_score"": 0.0, ""passage_id"": ""fe239ea0-8c9f-4310-8610-e0f840d9d5c4""}]",hybrid_rrf+reranker
ITB-RAG-0013,وين مذكور انتشار الموظفين بالملف التعريفي؟,"[""84d2d0b1-c42a-4163-89c9-01d0b5092831""]",[2],"[{""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 24, ""final_score"": 0.0001, ""passage_id"": ""8d1a52d6-5644-424a-8631-0b5abe366b0f""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 13, ""final_score"": 0.0, ""passage_id"": ""0dadf726-d5db-497e-80e2-a6869f4b70c3""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 21, ""final_score"": 0.0, ""passage_id"": ""6bd0b069-9889-4767-8697-c736693b5d78""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 2, ""final_score"": 0.0, ""passage_id"": ""042993b7-95bc-4542-b84e-060e943eac7e""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 11, ""final_score"": 0.0, ""passage_id"": ""b7a1045a-1fc2-4e95-8fb4-286cca6a56ff""}]",hybrid_rrf+reranker
ITB-RAG-0016,ما المذكور عن User Protection في ملف المشاريع؟,"[""fd9de67d-7e3a-4258-a8a6-d957782b7cda""]",[14],"[{""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 7, ""final_score"": 0.0033, ""passage_id"": ""8e32f89a-5610-48a3-8d8c-d0549bba2d4f""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 22, ""final_score"": 0.0014, ""passage_id"": ""8c2117ef-df8d-4762-9e30-20d3e1d0c464""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 21, ""final_score"": 0.0008, ""passage_id"": ""b20dea1b-ffb8-499b-821a-4f67c2cf547d""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 17, ""final_score"": 0.0007, ""passage_id"": ""c2decd08-7054-446b-98db-3cdbe62ea6f1""}, {""document_id"": ""fd9de67d-7e3a-4258-a8a6-d957782b7cda"", ""page_from"": 18, ""final_score"": 0.0003, ""passage_id"": ""21a85d64-9aa6-4e26-a52e-ab3bddf726c1""}]",hybrid_rrf+reranker
